"DV","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"PC1","East","Central",-1.83296446361134,-2.94204873599954,-0.723880191223148,0.00018,"***"
"PC1","East","West",-4.99454932018227,-6.14648870514674,-3.84260993521779,1.48e-14,"****"
"PC1","East","Northeast",-3.48068370358963,-4.5914308929785,-2.36993651420076,2.46e-12,"****"
"PC1","Central","West",-3.16158485657092,-4.14612170815696,-2.17704800498489,2.19e-13,"****"
"PC1","Central","Northeast",-1.64771923997829,-2.5865225612841,-0.708915918672481,9.08e-05,"****"
"PC1","West","Northeast",1.51386561659263,0.526267016247055,2.50146421693821,0.000667,"***"
"PC2","East","Central",-1.7577835466268,-2.47372558734401,-1.04184150590958,1.25e-08,"****"
"PC2","East","West",-0.973690119832956,-1.63669232627283,-0.310687913393086,0.001,"***"
"PC2","East","Northeast",-1.00284246168892,-1.73811594416974,-0.267568979208097,0.003,"**"
"PC2","Central","West",0.78409342679384,0.341972552679993,1.22621430090769,5.91e-05,"****"
"PC2","Central","Northeast",0.75494108493788,0.206140202697955,1.3037419671778,0.003,"**"
"PC2","West","Northeast",-0.0291523418559609,-0.507542436950199,0.449237753238277,0.998,"ns"
"PC3","East","Central",0.157467421750451,-0.377987132940291,0.692921976441193,0.87,"ns"
"PC3","East","West",1.19224029916106,0.73666558820361,1.64781501011852,7.79e-10,"****"
"PC3","East","Northeast",0.526570587230094,-0.103675141578951,1.15681631603914,0.133,"ns"
"PC3","Central","West",1.03477287741061,0.536650960866796,1.53289479395443,1.92e-06,"****"
"PC3","Central","Northeast",0.369103165479643,-0.290187145555239,1.02839347651453,0.457,"ns"
"PC3","West","Northeast",-0.665669711930969,-1.2660994654372,-0.0652399584247348,0.024,"*"
"PC4","East","Central",-0.502739895718462,-0.851433483467791,-0.154046307969133,0.001,"***"
"PC4","East","West",-0.090574945690225,-0.500133558358904,0.318983666978454,0.94,"ns"
"PC4","East","Northeast",-0.753318624099393,-1.08214594433295,-0.42449130386584,1.43e-07,"****"
"PC4","Central","West",0.412164950028237,0.0354852867708336,0.78884461328564,0.026,"*"
"PC4","Central","Northeast",-0.250578728380931,-0.537747526436157,0.0365900696742962,0.109,"ns"
"PC4","West","Northeast",-0.662743678409168,-1.02104452847278,-0.304442828345553,2.24e-05,"****"
